id,file_name,relative_path,folder,project_area,category,short_summary,what_this_file_controls,when_to_use_this_file,recommended_claude_instruction,importance,last_updated_from_git,related_code_files,related_docs
1,AGENTS.md,AGENTS.md,root,Base44 / Git,Workflow,"כללים מחייבים לעבודה עם Base44 וגיט — קוד, Console, Secrets, Git","עקרונות עבודה בסיסיים: לא Console, לא secrets בקוד, Git כמקור אמת",תחילת כל session עם Base44,Read AGENTS.md before any Base44 or Git workflow task.,High,2026-06-11,vite.config.js,"PROMPTS.md, CLAUDE.md"
2,AI_DEVELOPMENT_GUIDE.md,AI_DEVELOPMENT_GUIDE.md,root,Architecture / UX,Architecture,"חוקת הפרויקט §1–§34: כל כללי ה-UX, שמירה, Brain, Obsidian, GEMS, טאבים","כל שינוי UI, Save flow, Topics, Workspace, Brain, GEM",לפני כל שינוי UI,"Read AI_DEVELOPMENT_GUIDE.md before any UI, save-flow, topic, Brain, or GEM change.",High,2026-06-17,"src/components/dashboard/, src/hooks/","SKILL.md, docs/governance/MASTER_PROJECT_BIBLE.md"
3,CHAPTER_ENGINE_ROOT_CAUSE_REPORT.md,CHAPTER_ENGINE_ROOT_CAUSE_REPORT.md,root,Chapters Engine,Bug Fix,"ניתוח שורש: 7 מקורות chapters, priorities, title generation — analysis only",כל מה שקשור להצגת chapters וטאב chapters,לפני שינוי בטאב Chapters,Read CHAPTER_ENGINE_ROOT_CAUSE_REPORT.md before modifying chapter display or sources.,Medium,2026-06-22,"src/components/dashboard/VideoDetailPanel.jsx, src/services/youtubeMetadata.js","docs/CHAPTER_SOURCE_PRIORITY_RULE.md, docs/CHAPTERS_SOURCE_HIERARCHY_AND_AI_TITLE_STRATEGY.md"
4,CLAUDE.md,CLAUDE.md,root,AI Configuration,Governance,"הגדרות AI מאושרות: max_tokens=8192, timeouts, Gemini mock, chunk thresholds",vite.config.js AI parameters — אסור לשנות בלי אישור,לפני שינוי בהגדרות AI,Read CLAUDE.md before changing any AI configuration parameters in vite.config.js.,High,2026-06-17,vite.config.js,AGENTS.md
5,MARKET_DASHBOARD_UI_GUIDE.md,MARKET_DASHBOARD_UI_GUIDE.md,root,Morning Brief / Macro,UI/UX,"Blueprint ויזואלי מאקרו טאב — 12 סקשנים, component map, section hierarchy",layout של Macro tab בדשבורד,לפני שינוי ב-Macro sections,Read MARKET_DASHBOARD_UI_GUIDE.md before editing macro/morning-brief sections.,High,2026-06-18,"src/components/dashboard/MacroStyleInsightCards.jsx, src/components/dashboard/MorningBriefMarketsTable.jsx","docs/governance/STOCK_ANALYSIS_SCREEN_BIBLE.md, docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md"
6,PROJECT_STATUS.md,PROJECT_STATUS.md,root,Project Health,QA,"סנפשוט פרויקט: build status, 4 release gates, commits אחרונים",release readiness snapshot,לפני publish ב-Base44,Check PROJECT_STATUS.md before publishing to understand open release gates.,Medium,2026-06-17,,docs/governance/CURRENT_STATE_JUNE_2026.md
7,PROMPTS.md,PROMPTS.md,root,Base44 Workflow,Prompt Rules,פרומפטים מוכנים לעבודה מסודרת עם Base44,templates לפרומפטים של Claude,תחילת כל session,Use PROMPTS.md templates when starting a new Base44 development session.,Low,2026-06-11,,AGENTS.md
8,README.md,README.md,root,Project Overview,Documentation,"סקירת פרויקט: Features, Stack, Base44 integration, E2E tests",תיאור פרויקט כללי,כניסה ראשונה לפרויקט,Read README.md for a general project overview before starting.,Medium,2026-06-17,,AI_DEVELOPMENT_GUIDE.md
9,ROUTES_AUDIT_REPORT.md,ROUTES_AUDIT_REPORT.md,root,Routing,QA,"Audit routes: pages.config.js, אילו pages קיימות ומה סטטוסן",routing configuration,לפני הוספת/הסרת routes,Read ROUTES_AUDIT_REPORT.md before adding or removing pages.,Low,2026-06-01,"src/pages/, pages.config.js",
10,SKILL.md,SKILL.md,root,Architecture,Architecture,"זהות הפרויקט: Core Concept, שני זרמים נפרדים — Manual / AI (לא לערבב)",הגדרת הפרויקט והבדל בין זרמי manual ו-AI,לפני הוספת feature חדש,Read SKILL.md before adding features to understand the two separate flows.,High,2026-06-17,,AI_DEVELOPMENT_GUIDE.md
11,AI_ANALYSIS_LINK_ROUTING_PLAN.md,docs/AI_ANALYSIS_LINK_ROUTING_PLAN.md,docs,AI Analysis,Architecture,"תכנון routing 'נתח עם AI' לפי entity type — status: planning, לא implement",design plan לAI analysis routing,לפני implement של AI analysis routing,Read docs/AI_ANALYSIS_LINK_ROUTING_PLAN.md before implementing AI analysis routing.,Medium,2026-06-29,src/lib/gemRecommender.js,"docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md, docs/MARKET_ENTITY_ANALYSIS_ROUTING.md"
12,AI_ANALYZE_OPPORTUNITY_RISK_PROMPT_RULE.md,docs/AI_ANALYZE_OPPORTUNITY_RISK_PROMPT_RULE.md,docs,AI Analysis / Opportunities,Prompt Rules,כלל לפרומפט AI analysis על פריטי opportunities ו-risks,פרומפט AI analysis על הזדמנויות/סיכונים,לפני שינוי ה-AI analysis prompt,Read docs/AI_ANALYZE_OPPORTUNITY_RISK_PROMPT_RULE.md before changing the AI analysis prompt.,Medium,2026-06-29,src/lib/gemRecommender.js,docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md
13,AI_BADGE_RENDERING_RULE.md,docs/AI_BADGE_RENDERING_RULE.md,docs,Morning Brief,UI/UX,"מקור אמת לרינדור badge (🤖 AI / ✏️ Manual) בקטעי Morning Brief",rendering path של AI badge בsection headers,לפני שינוי rendering של section badges,Read docs/AI_BADGE_RENDERING_RULE.md before modifying section header badge rendering.,Medium,2026-06-22,src/components/dashboard/MorningBriefNewsSection.jsx,docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md
14,CHAPTERS_SOURCE_HIERARCHY_AND_AI_TITLE_STRATEGY.md,docs/CHAPTERS_SOURCE_HIERARCHY_AND_AI_TITLE_STRATEGY.md,docs,Chapters Engine,Architecture,"כלל סופי: היררכיית chapter sources + strategy ל-AI titles",priority של chapter sources + title generation strategy,לפני שינוי chapters logic,Read docs/CHAPTERS_SOURCE_HIERARCHY_AND_AI_TITLE_STRATEGY.md before changing chapter source priority.,High,2026-06-28,src/components/dashboard/VideoDetailPanel.jsx,"docs/CHAPTER_SOURCE_PRIORITY_RULE.md, CHAPTER_ENGINE_ROOT_CAUSE_REPORT.md"
15,CHAPTER_SOURCE_PRIORITY_RULE.md,docs/CHAPTER_SOURCE_PRIORITY_RULE.md,docs,Chapters Engine,Governance,"כלל קצר: description > gem > AI fallback",chapter source priority order,לפני שינוי chapter source defaults,Read docs/CHAPTER_SOURCE_PRIORITY_RULE.md before changing chapter source defaults.,Medium,2026-06-28,src/components/dashboard/VideoDetailPanel.jsx,docs/CHAPTERS_SOURCE_HIERARCHY_AND_AI_TITLE_STRATEGY.md
16,DEPLOYMENT_TARGET_RULE.md,docs/DEPLOYMENT_TARGET_RULE.md,docs,Base44,Base44,כלל: לאשר deployment target לפני deploy — לא להניח Base44 אוטומטית,deployment workflow,לפני כל publish ב-Base44,Read docs/DEPLOYMENT_TARGET_RULE.md before any deploy or publish step.,Medium,2026-06-28,,"AGENTS.md, docs/base44-checklist.md"
17,FINVIZ_LINK_BEHAVIOR_RULE.md,docs/FINVIZ_LINK_BEHAVIOR_RULE.md,docs,Market / Links,UI/UX,כל symbol/ticker/sector תקין — חייב להיות קישור Finviz,link behavior של market symbols,לפני שינוי rendering של market symbols,Read docs/FINVIZ_LINK_BEHAVIOR_RULE.md before modifying any market symbol display.,High,2026-06-29,src/utils/finvizLinks.js,"docs/SECTOR_FINVIZ_LINK_MAPPING.md, docs/WATCH_TODAY_FINVIZ_LINKS.md"
18,GEMS_OUTPUT_LANGUAGE_RULES.md,docs/GEMS_OUTPUT_LANGUAGE_RULES.md,docs,GEMS / AI,Prompt Rules,"כללי שפה לפלט GEM — JSON schemas, language mix rules",שפת ה-output של GEM prompts,לפני שינוי GEM prompts או schemas,Read docs/GEMS_OUTPUT_LANGUAGE_RULES.md before changing GEM output format or language.,High,2026-06-30,src/ai/gemini/gemContentRouter.js,docs/GEM_CONTENT_CLASSIFICATION_RULES.md
19,GEMS_TAB_MAPPING_REGRESSION_RULES.md,docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md,docs,GEMS / Universal Tabs,Architecture,"מקור אמת: mapping מ-GEM JSON לטאבים universal — regression rules",data layer mapping GEM→Tabs,לפני שינוי GEM JSON mapping או Universal Tabs,Read docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md before changing GEM-to-tab mapping.,High,2026-06-28,src/components/dashboard/VideoDetailPanel.jsx,docs/GEM_CONTENT_CLASSIFICATION_RULES.md
20,GEM_CHAPTER_TIMESTAMP_RELIABILITY.md,docs/GEM_CHAPTER_TIMESTAMP_RELIABILITY.md,docs,Chapters Engine / GEMS,Architecture,chapter quality vs timestamp reliability — שני ממדים שונים,metadata של chapters tab,לפני שינוי chapters quality indicators,Read docs/GEM_CHAPTER_TIMESTAMP_RELIABILITY.md before modifying chapter metadata display.,Medium,2026-06-22,src/components/dashboard/VideoDetailPanel.jsx,docs/CHAPTER_SOURCE_PRIORITY_RULE.md
21,GEM_CONTENT_CLASSIFICATION_RULES.md,docs/GEM_CONTENT_CLASSIFICATION_RULES.md,docs,GEMS / Content,Architecture,"כללי סיווג GEM recommendation: Macro / Technical / Fundamental",GEM content classification logic,לפני שינוי GEM classification,Read docs/GEM_CONTENT_CLASSIFICATION_RULES.md before changing GEM content classification.,High,2026-06-30,src/ai/gemini/gemContentRouter.js,"docs/GEMS_TAB_MAPPING_REGRESSION_RULES.md, docs/GEMS_OUTPUT_LANGUAGE_RULES.md"
22,HEBREW_DOCUMENTATION_CATALOG.md,docs/HEBREW_DOCUMENTATION_CATALOG.md,docs,Documentation,Documentation,"קטלוג תיעוד עברי — 26 מסמכים, מה לקרוא ראשון",ניווט במסמכי הפרויקט,"כניסה לפרויקט, חיפוש מסמך",Read docs/HEBREW_DOCUMENTATION_CATALOG.md to navigate project documentation.,Medium,2026-06-22,,"docs/START_HERE.md, docs/PROJECT_DOCUMENTATION_INDEX.md"
23,HEBREW_FIRST_MARKET_STATUS_LABELS.md,docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md,docs,Market Status / UI,Bug Fix,"תיקון: labels בטבלת Market Status → עברית-ראשונה (2026-07-01)",labels של REGIME_OVERVIEW table,לפני שינוי בטבלת Market Status,Read docs/HEBREW_FIRST_MARKET_STATUS_LABELS.md before changing market status table labels.,High,2026-07-01,"src/components/dashboard/MorningBriefMarketsTable.jsx, src/lib/morningBriefPresentation.js",docs/HEBREW_FIRST_UI_LABELS_RULE.md
24,HEBREW_FIRST_UI_LABELS_RULE.md,docs/HEBREW_FIRST_UI_LABELS_RULE.md,docs,UI / RTL,Governance,כלל ליבה: כל caption משתמש חייב להיות עברית-ראשונה,כל ה-UI labels בדשבורד,לפני כל שינוי label/caption ב-UI,Read docs/HEBREW_FIRST_UI_LABELS_RULE.md before adding or changing any UI label.,High,2026-06-30,"src/components/dashboard/, src/lib/morningBriefPresentation.js",docs/governance/DESIGN_SYSTEM_AND_UX_RULES.md
25,MACRO_INDICATOR_INVESTING_LINKS.md,docs/MACRO_INDICATOR_INVESTING_LINKS.md,docs,Morning Brief / Macro,UI/UX,קישורי il.investing.com לכל macro indicator בטבלת Morning Brief,links של macro indicators,לפני שינוי macro indicators table,Read docs/MACRO_INDICATOR_INVESTING_LINKS.md before changing macro indicator display.,Medium,2026-06-28,src/components/dashboard/MorningBriefMarketsTable.jsx,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md
26,MARKET_ENTITY_ANALYSIS_ROUTING.md,docs/MARKET_ENTITY_ANALYSIS_ROUTING.md,docs,AI Analysis,Architecture,market entities → routing לPerplexity / TradingView / Finviz לפי entity type,routing logic של entities לכלי ניתוח חיצוניים,לפני שינוי 'נתח עם AI' כפתורים,Read docs/MARKET_ENTITY_ANALYSIS_ROUTING.md before modifying AI analysis routing.,High,2026-06-29,src/lib/gemRecommender.js,"docs/PERPLEXITY_AI_ANALYSIS_WORKFLOW.md, docs/TRADINGVIEW_STOCK_SYMBOL_RESOLVER.md"
27,MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md,docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md,docs,Morning Brief,UI/UX,"מקור אמת ויזואלי: Morning Brief + Dedicated Content — עיצוב, layout, צבעים",visual design של morning brief + dedicated content,לפני שינוי ויזואלי ב-Morning Brief,Read docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md before any visual change in morning brief.,High,2026-06-25,"src/components/dashboard/SummaryBriefingView.jsx, src/lib/morningBriefVisuals.js",MARKET_DASHBOARD_UI_GUIDE.md
28,MORNING_BRIEF_GEMS_ROUTING.md,docs/MORNING_BRIEF_GEMS_ROUTING.md,docs,Morning Brief / GEMS,Architecture,כלל routing: סרטוני live brief → morning brief tab (לא macro),routing של live briefing videos ל-morning brief,לפני שינוי routing של live brief videos,Read docs/MORNING_BRIEF_GEMS_ROUTING.md before changing morning brief video routing.,High,2026-06-30,"src/lib/gemRecommender.js, src/components/dashboard/SpecializedContentRenderer.jsx",docs/GEM_CONTENT_CLASSIFICATION_RULES.md
29,MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md,docs,Morning Brief / QA,QA,"Audit specialized output: 53 פריטים → ~27 ייחודיים, בעיות dup",known issues ב-specialized tab output,לפני תיקון specialized tab,Read docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md before fixing specialized tab issues.,Medium,2026-06-30,src/components/dashboard/SpecializedContentRenderer.jsx,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md
30,MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md,docs,Morning Brief / QA,Bug Fix,תיקונים שיושמו ל-specialized output — 2026-06-30,record של fixes שבוצעו,לוודא מה כבר תוקן ב-specialized,Read docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_FIXES.md to check what has already been fixed.,Medium,2026-06-30,src/components/dashboard/SpecializedContentRenderer.jsx,docs/MORNING_BRIEF_SPECIALIZED_OUTPUT_AUDIT.md
31,OBSIDIAN_PERSONAL_BRAIN_PHASE.md,docs/OBSIDIAN_PERSONAL_BRAIN_PHASE.md,docs,Obsidian / Brain,Architecture,"Phase checkpoint: Obsidian export + brainHighlights — מה עובד",Obsidian integration status,לפני שינוי ב-Obsidian export או Brain,Read docs/OBSIDIAN_PERSONAL_BRAIN_PHASE.md before modifying Obsidian export.,Medium,2026-06-22,src/components/dashboard/VideoDetailPanel.jsx,"AI_DEVELOPMENT_GUIDE.md, docs/governance/SAVE_SYSTEM_ARCHITECTURE.md"
32,OPPORTUNITIES_RISKS_DESIGN_RULE.md,docs/OPPORTUNITIES_RISKS_DESIGN_RULE.md,docs,Morning Brief / UI,UI/UX,כלל: Macro/Specialized הוא reference לכל sections של הזדמנויות/סיכונים,layout consistency בין opportunities/risks sections,לפני שינוי עיצוב של opportunity/risk cards,Read docs/OPPORTUNITIES_RISKS_DESIGN_RULE.md before changing opportunity or risk card layout.,Medium,2026-06-22,src/components/dashboard/MacroStyleInsightCards.jsx,"MARKET_DASHBOARD_UI_GUIDE.md, docs/MORNING_BRIEF_DEDICATED_CONTENT_UI_STANDARD.md"
